IdCliente,Fecha Nacimiento,Actividad Laboral,Estado Civil,Nivel Educacional,Tiene Mora,Saldo Medio Anual,Tiene Crédito Hipotecario,Tiene Crédito de Consumo,Medio de Contacto Preferente,Contactos con su Ejecutivo,Tiene Inversiones
35,2/28/1939,Jubilado,Divorciado,Universitario,No,2619000,No,No,Fono Particular,2,No
36,2/28/1945,Jubilado,Divorciado,Universitario,No,1680000,No,No,Fono Particular,3,No
37,2/28/1939,Jubilado,Casado,Universitario,No,4761000,No,No,Fono Particular,3,Si
38,2/28/1939,Obrero,Casado,Enseñanza Media,No,0,No,No,Fono Particular,0,No
39,2/28/1940,Jubilado,Casado,Universitario,No,1702000,No,No,Fono Particular,0,No
40,2/28/1945,Jubilado,Casado,Universitario,No,81204000,No,No,Fono Particular,2,Si
41,2/28/1939,Jubilado,Casado,Universitario,No,1791000,No,No,Fono Particular,0,No
42,3/1/1942,Jubilado,Divorciado,Enseñanza Básica,No,20000,No,No,Celular,0,No
43,3/1/1940,Jubilado,Divorciado,Enseñanza Básica,No,0,No,No,Fono Particular,0,No
44,3/1/1944,Jubilado,Casado,Técnico Profesional,No,4216000,No,No,Celular,0,No
45,3/1/1948,Jubilado,Casado,Universitario,No,6236000,No,No,Celular,3,No
46,3/1/1943,Jubilado,Soltero,Universitario,No,1965000,No,No,Fono Particular,0,Si
47,3/1/1942,Jubilado,Casado,Universitario,No,425000,No,No,Fono Particular,2,Si
48,3/1/1940,Jubilado,Divorciado,Universitario,No,2619000,No,No,Fono Particular,0,No
49,3/1/1948,Jubilado,Casado,Universitario,No,6236000,No,No,Celular,2,No
50,3/1/1942,Jubilado,Divorciado,Universitario,No,4565000,No,No,Celular,0,No
51,3/1/1947,Trabajador Dependiente,Casado,Enseñanza Básica,No,2140000,No,No,Celular,8,No
52,3/1/1944,Trabajador Dependiente,Divorciado,Enseñanza Básica,No,5944000,No,No,Celular,0,No
53,3/1/1940,Jubilado,Casado,Universitario,No,4761000,No,No,Fono Particular,1,No
54,3/1/1940,Jubilado,Casado,Enseñanza Media,No,0,No,No,Fono Particular,2,No
55,3/1/1940,Jubilado,Divorciado,Enseñanza Básica,No,0,No,No,Fono Particular,3,No
56,3/1/1942,Jubilado,Casado,Universitario,No,425000,No,No,Fono Particular,1,Si
57,3/1/1941,Jubilado,Soltero,Universitario,No,3349000,No,No,Fono Particular,0,No
58,3/1/1940,Jubilado,Casado,Universitario,No,4761000,No,No,Fono Particular,0,Si
59,3/1/1948,Jubilado,Divorciado,Universitario,No,1097000,No,No,Fono Particular,0,Si
60,3/1/1940,Jubilado,Casado,Enseñanza Media,No,0,No,No,Celular,0,No
61,3/1/1941,Jubilado,Divorciado,Enseñanza Básica,No,46000,No,No,Celular,0,No
62,3/1/1948,Jubilado,Casado,Universitario,No,6236000,No,No,Celular,0,No
63,3/1/1942,Jubilado,Casado,Universitario,No,425000,No,No,Fono Particular,0,No
64,3/2/1948,Trabajador Dependiente,Casado,Enseñanza Básica,No,2140000,No,No,Fono Particular,0,No
65,3/2/1945,Jubilado,Casado,Técnico Profesional,No,211000,No,No,Fono Particular,0,No
66,3/2/1941,Jubilado,Divorciado,Enseñanza Básica,No,0,No,No,Fono Particular,1,No
67,3/2/1949,Jubilado,Casado,Universitario,No,278000,No,No,Celular,0,No
68,3/2/1949,Jubilado,Casado,Universitario,No,8603000,No,No,Celular,0,Si
69,3/2/1947,Jubilado,Divorciado,Universitario,No,1419000,No,No,Fono Particular,0,No
70,3/2/1945,Trabajador Dependiente,Divorciado,Enseñanza Básica,No,1381000,No,No,Celular,1,No
71,3/2/1941,Jubilado,Divorciado,Enseñanza Básica,No,0,No,No,Celular,1,No
72,3/2/1941,Jubilado,Casado,Universitario,No,243000,No,No,Celular,2,No
73,3/2/1945,Trabajador Dependiente,Divorciado,Enseñanza Básica,No,1381000,No,No,Celular,4,Si
74,3/2/1945,Jubilado,Casado,Enseñanza Media,No,121000,No,No,Fono Particular,0,No
75,3/2/1942,Jubilado,Divorciado,Universitario,No,928000,No,No,Fono Particular,3,No
76,3/2/1941,Jubilado,Casado,Enseñanza Media,No,0,No,No,Fono Particular,0,No
77,3/2/1947,Jubilado,Casado,Universitario,No,276000,No,No,Fono Particular,0,No
78,3/2/1941,Técnico,Divorciado,Técnico Profesional,No,0,No,No,Fono Particular,0,No
79,3/2/1945,Jubilado,Casado,Universitario,No,103000,No,No,Celular,0,No
80,3/2/1949,Jubilado,Casado,Universitario,No,8603000,No,No,Celular,1,Si
81,3/2/1945,Trabajador Dependiente,Divorciado,Enseñanza Básica,No,1381000,No,No,Celular,0,No
82,3/2/1941,Jubilado,Divorciado,Universitario,No,0,No,No,Fono Particular,0,No
83,3/3/1942,Jubilado,Casado,Universitario,No,5220000,No,No,Fono Particular,2,Si
84,3/3/1942,Jubilado,Casado,Universitario,No,243000,No,No,Celular,0,No
85,3/3/1950,Jubilado,Divorciado,Técnico Profesional,No,9224000,No,No,Fono Particular,0,No
86,3/3/1945,Jubilado,Casado,Enseñanza Media,No,93000,No,No,Celular,0,No
87,3/3/1944,Jubilado,Divorciado,Universitario,No,452000,No,No,Fono Particular,0,Si
88,3/3/1948,Jubilado,Divorciado,Universitario,No,519000,No,No,Fono Particular,0,No
89,3/3/1942,Jubilado,Divorciado,Técnico Profesional,No,0,No,No,Fono Particular,0,No
90,3/3/1942,Jubilado,Divorciado,Enseñanza Básica,No,0,No,No,Fono Particular,0,No
91,3/3/1943,Jubilado,Casado,Enseñanza Media,No,1000,No,No,Celular,0,No
92,3/3/1942,Jubilado,Casado,Enseñanza Básica,No,0,No,No,Fono Particular,0,No
93,3/3/1943,Jubilado,Divorciado,Universitario,No,4321000,No,No,Celular,0,No
94,3/3/1946,Jubilado,Divorciado,Universitario,No,949000,No,No,Celular,1,Si
95,3/3/1944,Jubilado,Casado,Universitario,No,1154000,No,No,Fono Particular,0,Si
96,3/3/1942,Jubilado,Casado,Universitario,No,243000,No,No,Celular,1,No
97,3/3/1942,Jubilado,Divorciado,Universitario,No,0,No,No,Celular,0,No
98,3/3/1942,Trabajador Dependiente,Casado,Universitario,No,0,No,No,Celular,0,No
99,3/3/1947,Jubilado,Casado,Universitario,No,122000,No,No,Fono Particular,0,No
100,3/4/1945,Jubilado,Casado,Universitario,No,155000,No,No,Fono Particular,2,No
101,3/4/1949,Jubilado,Casado,Universitario,No,3669000,No,No,Celular,0,No
102,3/4/1944,Jubilado,Casado,Universitario,No,1468000,No,No,Celular,0,Si
103,3/4/1950,Jubilado,Casado,Universitario,No,997000,No,No,Celular,3,Si
104,3/4/1944,Jubilado,Divorciado,Universitario,No,235000,No,No,Celular,3,No
105,3/4/1949,Jubilado,Casado,Universitario,No,8304000,No,No,Fono Particular,11,No
106,3/4/1947,Trabajador Dependiente,Casado,Universitario,No,499000,No,No,Fono Particular,4,No
107,3/4/1945,Jubilado,Divorciado,Universitario,No,5861000,No,No,Fono Particular,0,No
108,3/4/1945,Jubilado,Casado,Universitario,No,155000,No,No,Fono Particular,3,No
109,3/4/1943,Jubilado,Casado,Universitario,No,594000,No,No,Fono Particular,0,No
110,3/4/1947,Jubilado,Casado,Universitario,No,1021000,No,No,Fono Particular,0,No
111,3/4/1950,Jubilado,Casado,Universitario,No,1861000,No,No,Fono Particular,0,No
112,3/4/1949,Jubilado,Casado,Universitario,No,8304000,No,No,Fono Particular,13,Si
113,3/4/1947,Jubilado,Casado,Técnico Profesional,No,355000,No,No,Fono Particular,0,No
114,3/4/1951,Jubilado,Casado,Universitario,No,1610000,No,No,Celular,0,No
115,3/4/1945,Jubilado,Casado,Enseñanza Media,No,2000,No,No,Fono Particular,0,No
116,3/4/1946,Gerente,Casado,Universitario,No,6483000,No,No,Fono Particular,0,No
117,3/4/1943,Jubilado,Casado,Universitario,No,1548000,No,No,Celular,0,No
118,3/4/1949,Jubilado,Casado,Universitario,No,2994000,No,No,Celular,0,No
119,3/4/1945,Jubilado,Casado,Universitario,No,2954000,No,No,Celular,0,No
120,3/4/1945,Jubilado,Casado,Universitario,No,155000,No,No,Fono Particular,0,No
121,3/4/1946,Jubilado,Casado,Universitario,No,462000,No,No,Celular,0,No
122,3/4/1949,Jubilado,Casado,Enseñanza Media,No,87000,No,No,Fono Particular,0,No
123,3/4/1950,Jubilado,Casado,Universitario,No,997000,No,No,Celular,1,Si
124,3/4/1943,Trabajador Dependiente,Casado,Enseñanza Básica,No,0,No,No,Celular,1,No
125,3/4/1948,Jubilado,Casado,Universitario,No,2354000,No,No,Fono Particular,2,Si
126,3/4/1944,Jubilado,Casado,Universitario,No,1468000,No,No,Celular,3,No
127,3/4/1945,Jubilado,Casado,Universitario,No,668000,No,No,Fono Particular,1,Si
128,3/4/1948,Jubilado,Casado,Universitario,No,2354000,No,No,Fono Particular,3,No
129,3/4/1945,Jubilado,Casado,Universitario,No,173000,No,No,Celular,0,No
130,3/4/1949,Jubilado,Casado,Universitario,No,8304000,No,No,Fono Particular,12,Si
131,3/5/1945,Jubilado,Divorciado,Universitario,No,631000,No,No,Fono Particular,3,No
132,3/5/1944,Jubilado,Divorciado,Técnico Profesional,No,2628000,No,No,Fono Particular,2,No
133,3/5/1950,Jubilado,Divorciado,Universitario,No,2787000,No,No,Fono Particular,1,Si
134,3/5/1948,Jubilado,Casado,Universitario,No,4738000,No,No,Fono Particular,0,No
135,3/5/1945,Jubilado,Divorciado,Universitario,No,631000,No,No,Fono Particular,1,No
136,3/5/1946,Jubilado,Divorciado,Universitario,No,1910000,No,No,Fono Particular,0,No
137,3/5/1950,Jubilado,Casado,Universitario,No,2661000,No,No,Celular,0,Si
138,3/5/1950,Jubilado,Casado,Universitario,No,8304000,No,No,Celular,9,Si
139,3/5/1945,Jubilado,Casado,Universitario,No,3025000,No,No,Celular,3,Si
140,3/5/1944,Jubilado,Casado,Universitario,No,909000,No,No,Celular,1,No
141,3/5/1947,Jubilado,Casado,Universitario,No,723000,No,No,Fono Particular,3,Si
142,3/5/1951,Jubilado,Divorciado,Enseñanza Básica,No,79000,No,No,Celular,0,No
143,3/5/1949,Jubilado,Casado,Universitario,No,2354000,No,No,Fono Particular,0,No
144,3/5/1944,Trabajador Dependiente,Casado,Enseñanza Básica,No,0,No,No,Celular,0,No
145,3/5/1947,Jubilado,Divorciado,Universitario,No,336000,No,No,Celular,1,No
146,3/5/1951,Jubilado,Casado,Universitario,No,3481000,No,No,Fono Particular,0,No
147,3/5/1949,Jubilado,Casado,Universitario,No,1058000,No,No,Fono Particular,0,No
148,3/5/1946,Jubilado,Divorciado,Enseñanza Básica,No,20000,No,No,Celular,1,No
149,3/5/1950,Jubilado,Casado,Universitario,No,8556000,No,No,Fono Particular,2,Si
150,3/5/1947,Jubilado,Casado,Universitario,No,723000,No,No,Fono Particular,0,No
151,3/5/1946,Jubilado,Casado,Universitario,No,668000,No,No,Fono Particular,0,Si
152,3/5/1950,Jubilado,Casado,Universitario,No,429000,No,No,Fono Particular,0,Si
153,3/5/1944,Jubilado,Casado,Técnico Profesional,No,0,No,No,Fono Particular,0,No
154,3/5/1945,Jubilado,Casado,Universitario,No,3025000,No,No,Fono Particular,6,No
155,3/5/1950,Jubilado,Casado,Universitario,No,8304000,No,No,Fono Particular,0,Si
156,3/6/1949,Trabajador Dependiente,Casado,Universitario,No,499000,No,No,Fono Particular,0,No
157,3/6/1951,Jubilado,Casado,Universitario,No,8556000,No,No,Fono Particular,0,Si
158,3/6/1951,Jubilado,Casado,Universitario,No,240000,No,No,Celular,0,No
159,3/6/1953,Jubilado,Divorciado,Universitario,No,1016000,No,No,Celular,0,No
160,3/6/1951,Jubilado,Divorciado,Universitario,No,2787000,No,No,Fono Particular,0,Si
161,3/6/1946,Jubilado,Casado,Técnico Profesional,No,4807000,No,No,Fono Particular,4,Si
162,3/6/1948,Jubilado,Divorciado,Universitario,No,1389000,No,No,Celular,0,Si
163,3/6/1949,Jubilado,Casado,Técnico Profesional,No,3208000,No,No,Fono Particular,0,Si
164,3/6/1949,Jubilado,Casado,Universitario,No,832000,No,No,Fono Particular,0,No
165,3/6/1951,Jubilado,Divorciado,Universitario,No,3417000,No,No,Celular,1,Si
166,3/6/1950,Jubilado,Casado,Universitario,No,680000,No,No,Fono Particular,9,No
167,3/6/1948,Jubilado,Divorciado,Universitario,No,4917000,No,No,Celular,0,No
168,3/6/1953,Jubilado,Casado,Universitario,No,2735000,No,No,Fono Particular,0,No
169,3/6/1950,Jubilado,Casado,Universitario,No,158000,No,No,Celular,0,No
170,3/6/1948,Trabajador Dependiente,Casado,Universitario,No,2235000,No,No,Fono Particular,0,Si
171,3/6/1945,Jubilado,Divorciado,Técnico Profesional,No,2628000,No,No,Fono Particular,0,No
172,3/6/1952,Gerente,Casado,Técnico Profesional,No,1780000,Si,No,Celular,7,Si
173,3/6/1947,Jubilado,Casado,Universitario,No,14204000,No,No,Celular,1,No
174,3/6/1950,Jubilado,Divorciado,Universitario,No,527000,No,No,Celular,0,Si
175,3/6/1946,Jubilado,Divorciado,Universitario,No,631000,No,No,Fono Particular,0,No
176,3/6/1949,Jubilado,Casado,Universitario,No,220000,No,No,Celular,0,No
177,3/6/1945,Jubilado,Divorciado,Técnico Profesional,No,0,No,No,Fono Particular,0,No
178,3/6/1949,Jubilado,Casado,Universitario,No,301000,No,No,Celular,0,No
179,3/6/1946,Jubilado,Casado,Universitario,No,226000,No,No,Fono Particular,0,No
180,3/6/1946,Jubilado,Divorciado,Enseñanza Básica,No,55000,No,No,Fono Particular,1,No
181,3/6/1949,Jubilado,Divorciado,Universitario,No,229000,No,No,Fono Particular,0,No
182,3/6/1946,Jubilado,Casado,Técnico Profesional,No,4807000,No,No,Fono Particular,0,Si
183,3/6/1952,Jubilado,Casado,Universitario,No,1204000,No,No,Fono Particular,0,Si
184,3/6/1951,Jubilado,Divorciado,Universitario,No,3219000,No,No,Celular,0,Si
185,3/6/1947,Jubilado,Casado,Técnico Profesional,No,38000,No,No,Fono Particular,3,No
186,3/7/1954,Jubilado,Casado,Universitario,No,4112000,No,No,Fono Particular,3,Si
187,3/7/1946,Jubilado,Casado,Universitario,No,2223000,No,No,Fono Particular,1,No
188,3/7/1953,Jubilado,Casado,Universitario,No,2590000,No,No,Fono Particular,20,Si
189,3/7/1949,Jubilado,Casado,Universitario,No,1047000,No,No,Celular,0,No
190,3/7/1951,Jubilado,Casado,Universitario,No,680000,No,No,Fono Particular,7,No
191,3/7/1953,Jubilado,Casado,Universitario,No,2590000,No,No,Fono Particular,15,No
192,3/7/1954,Jubilado,Casado,Universitario,No,638000,No,No,Celular,1,Si
193,3/7/1953,Jubilado,Casado,Universitario,No,2590000,No,No,Fono Particular,12,Si
194,3/7/1952,Jubilado,Divorciado,Universitario,No,3417000,No,No,Celular,0,Si
195,3/7/1953,Jubilado,Casado,Técnico Profesional,No,1807000,No,No,Fono Particular,0,Si
196,3/7/1953,Gerente,Casado,Técnico Profesional,No,1780000,Si,No,Celular,3,Si
197,3/7/1951,Jubilado,Casado,Universitario,No,680000,No,No,Fono Particular,0,No
198,3/7/1951,Jubilado,Casado,Universitario,No,680000,No,No,Fono Particular,3,No
199,3/7/1954,Jubilado,Casado,Universitario,No,989000,No,No,Fono Particular,0,No
200,3/7/1950,Jubilado,Casado,Universitario,No,121000,No,No,Fono Particular,0,No
201,3/7/1949,Jubilado,Soltero,Universitario,No,300000,No,No,Celular,0,No
202,3/7/1946,Jubilado,Divorciado,Enseñanza Media,No,0,No,No,Celular,0,No
203,3/7/1954,Jubilado,Casado,Universitario,No,638000,No,No,Celular,0,Si
204,3/7/1946,Jubilado,Casado,Universitario,No,0,No,No,Celular,1,No
205,3/7/1952,Jubilado,Casado,Universitario,No,699000,No,No,Celular,0,Si
206,3/7/1953,Jubilado,Casado,Universitario,No,610000,No,No,Celular,0,No
207,3/7/1946,Jubilado,Casado,Universitario,No,0,No,No,Celular,0,No
208,3/7/1953,Jubilado,Casado,Universitario,No,1492000,No,No,Fono Particular,2,No
209,3/7/1946,Jubilado,Casado,Universitario,No,0,No,No,Celular,0,No
210,3/7/1954,Jubilado,Casado,Universitario,No,1385000,No,No,Fono Particular,0,No
211,3/7/1947,Técnico,Casado,Técnico Profesional,No,397000,No,No,Fono Particular,3,No
212,3/7/1948,Jubilado,Divorciado,Universitario,No,2693000,No,No,Celular,12,No
213,3/7/1947,Jubilado,Casado,Universitario,No,820000,No,No,Fono Particular,4,Si
214,3/7/1952,Jubilado,Divorciado,Universitario,No,4659000,No,No,Celular,0,Si
215,3/7/1949,Jubilado,Casado,Universitario,No,3324000,No,No,Celular,5,Si
216,3/7/1947,Técnico,Casado,Técnico Profesional,No,397000,No,No,Fono Particular,0,Si
217,3/7/1949,Gerente,Casado,Universitario,No,5619000,No,No,Celular,0,No
218,3/7/1954,Jubilado,Casado,Universitario,No,7802000,No,No,Fono Particular,2,Si
219,3/7/1953,Gerente,Casado,Técnico Profesional,No,1780000,Si,No,Celular,5,Si
220,3/7/1948,Jubilado,Casado,Técnico Profesional,No,992000,No,No,Celular,2,No
221,3/7/1948,Jubilado,Casado,Técnico Profesional,No,38000,No,No,Fono Particular,0,No
222,3/7/1954,Jubilado,Casado,Universitario,No,2123000,No,No,Fono Particular,0,No
223,3/7/1954,Jubilado,Casado,Universitario,No,7802000,No,No,Fono Particular,0,Si
224,3/7/1954,Jubilado,Casado,Universitario,No,4112000,No,No,Fono Particular,2,Si
225,3/7/1946,Jubilado,Divorciado,Universitario,No,639000,No,No,Fono Particular,0,No
226,3/7/1953,Jubilado,Casado,Universitario,No,9601000,No,No,Fono Particular,0,Si
227,3/7/1948,Jubilado,Casado,Universitario,No,1208000,No,No,Fono Particular,0,No
228,3/7/1946,Jubilado,Casado,Universitario,No,29340000,No,No,Celular,2,Si
229,3/7/1946,Jubilado,Casado,Universitario,No,0,No,No,Celular,0,No
230,3/8/1948,Jubilado,Divorciado,Universitario,No,802000,No,No,Celular,5,Si
231,3/8/1954,Gerente,Casado,Técnico Profesional,No,1780000,Si,No,Fono Particular,0,Si
232,3/8/1954,Jubilado,Divorciado,Universitario,No,3049000,No,No,Celular,0,Si
233,3/8/1950,Jubilado,Casado,Universitario,No,2991000,No,No,Celular,2,No
234,3/8/1953,Jubilado,Casado,Universitario,No,852000,No,No,Fono Particular,0,No
235,3/8/1947,Jubilado,Casado,Universitario,No,2223000,No,No,Fono Particular,0,Si
236,3/8/1947,Jubilado,Casado,Técnico Profesional,No,8919000,No,No,Celular,0,No
237,3/8/1949,Jubilado,Divorciado,Universitario,No,2693000,No,No,Celular,2,No
238,3/8/1948,Jubilado,Casado,Universitario,No,820000,No,No,Fono Particular,0,Si
239,3/8/1954,Trabajador Independiente,Casado,Técnico Profesional,No,4984000,No,No,Fono Particular,1,Si
240,3/8/1954,Jubilado,Casado,Universitario,No,2590000,No,No,Fono Particular,0,No
241,3/8/1954,Trabajador Dependiente,Divorciado,Enseñanza Básica,No,1411000,No,No,Fono Particular,0,Si
242,3/8/1947,Jubilado,Casado,Universitario,No,0,No,No,Fono Particular,0,No
243,3/8/1950,Jubilado,Casado,Universitario,No,3324000,No,No,Celular,1,Si
244,3/8/1952,Jubilado,Divorciado,Enseñanza Básica,No,86000,No,No,Celular,0,No
245,3/8/1948,Jubilado,Casado,Universitario,No,163000,No,No,Fono Particular,0,No
246,3/8/1954,Trabajador Dependiente,Divorciado,Enseñanza Básica,No,1411000,No,No,Fono Particular,3,Si
247,3/8/1955,Jubilado,Casado,Universitario,No,242000,No,No,Fono Particular,0,No
248,3/8/1948,Jubilado,Divorciado,Universitario,No,802000,No,No,Celular,0,Si
249,3/8/1951,Jubilado,Casado,Universitario,No,2632000,No,No,Celular,0,No
250,3/8/1950,Jubilado,Casado,Universitario,No,2991000,No,No,Celular,1,Si
251,3/8/1955,Jubilado,Casado,Universitario,No,4112000,No,No,Fono Particular,0,Si
252,3/8/1949,Jubilado,Casado,Técnico Profesional,No,992000,No,No,Celular,0,No
253,3/8/1949,Jubilado,Divorciado,Universitario,No,2693000,No,No,Celular,0,Si
254,3/8/1954,Jubilado,Casado,Universitario,No,1492000,No,No,Fono Particular,0,Si
255,3/8/1954,Jubilado,Casado,Universitario,No,2302000,No,No,Fono Particular,0,No
256,3/8/1950,Jubilado,Casado,Universitario,No,3324000,No,No,Celular,3,Si
257,3/8/1947,Jubilado,Casado,Universitario,No,0,No,No,Fono Particular,1,No
258,3/8/1954,Jubilado,Casado,Universitario,No,2302000,No,No,Fono Particular,2,No
259,3/8/1950,Jubilado,Casado,Universitario,No,3324000,No,No,Celular,4,Si
260,3/8/1954,Trabajador Independiente,Casado,Técnico Profesional,No,4984000,No,No,Fono Particular,2,No
261,3/8/1954,Trabajador Dependiente,Casado,Enseñanza Básica,No,1483000,No,No,Celular,0,No
262,3/9/1951,Jubilado,Casado,Universitario,No,291000,No,No,Celular,2,No
263,3/9/1951,Jubilado,Casado,Universitario,No,3504000,No,No,Fono Particular,0,No
264,3/9/1956,Jubilado,Casado,Universitario,No,962000,No,No,Celular,0,No
265,3/9/1948,Jubilado,Casado,Universitario,No,468000,No,No,Fono Particular,0,No
266,3/9/1953,Trabajador Dependiente,Casado,Universitario,No,6053000,No,No,Celular,1,No
267,3/9/1951,Jubilado,Casado,Universitario,No,291000,No,No,Celular,1,No
268,3/9/1955,Jubilado,Casado,Técnico Profesional,No,7819000,No,No,Celular,4,No
269,3/9/1950,Jubilado,Divorciado,Universitario,No,37127000,No,No,Celular,0,No
270,3/9/1951,Jubilado,Divorciado,Universitario,No,2199000,No,No,Fono Particular,0,No
271,3/9/1948,Jubilado,Casado,Universitario,No,324000,No,No,Fono Particular,4,No
272,3/9/1954,Jubilado,Casado,Universitario,No,6027000,No,No,Celular,2,Si
273,3/9/1955,Trabajador Independiente,Casado,Técnico Profesional,No,4984000,No,No,Fono Particular,0,Si
274,3/9/1948,Jubilado,Divorciado,Universitario,No,1341000,No,No,Celular,0,Si
275,3/9/1949,Jubilado,Casado,Universitario,No,26452000,No,No,Fono Particular,0,No
276,3/9/1949,Jubilado,Casado,Universitario,No,5491000,No,No,Fono Particular,0,No
277,3/9/1952,Trabajador Dependiente,Casado,Universitario,No,643000,No,No,Celular,0,No
278,3/9/1948,Jubilado,Casado,Universitario,No,3771000,No,No,Fono Particular,1,Si
279,3/9/1953,Trabajador Dependiente,Casado,Universitario,No,6053000,No,No,Fono Particular,0,No
280,3/9/1948,Jubilado,Casado,Universitario,No,2970000,No,No,Celular,0,Si
281,3/9/1948,Jubilado,Casado,Universitario,No,1413000,No,No,Celular,2,Si
282,3/9/1951,Jubilado,Divorciado,Universitario,No,3810000,Si,No,Celular,1,Si
283,3/9/1951,Jubilado,Divorciado,Universitario,No,1092000,No,No,Fono Particular,2,No
284,3/9/1955,Jubilado,Casado,Universitario,No,4912000,No,No,Fono Particular,5,No
285,3/9/1948,Jubilado,Divorciado,Universitario,No,1926000,No,No,Celular,5,No
286,3/9/1954,Jubilado,Divorciado,Universitario,No,852000,No,No,Celular,1,No
287,3/9/1949,Jubilado,Casado,Universitario,No,1765000,No,No,Fono Particular,4,Si
288,3/9/1949,Jubilado,Divorciado,Enseñanza Básica,No,46000,No,No,Celular,0,No
289,3/9/1951,Jubilado,Casado,Universitario,No,3324000,No,No,Celular,0,No
290,3/9/1954,Jubilado,Divorciado,Enseñanza Media,No,105000,No,No,Celular,0,No
291,3/9/1950,Jubilado,Divorciado,Universitario,No,3881000,Si,No,Celular,0,Si
292,3/9/1955,Jubilado,Casado,Universitario,No,358000,No,No,Celular,0,No
293,3/9/1951,Jubilado,Casado,Universitario,No,1470000,No,No,Fono Particular,0,No
294,3/9/1948,Jubilado,Casado,Universitario,No,3771000,No,No,Fono Particular,2,Si
295,3/9/1954,Jubilado,Casado,Universitario,No,6027000,No,No,Celular,4,Si
296,3/9/1951,Jubilado,Casado,Universitario,No,2991000,No,No,Celular,0,Si
297,3/9/1952,Trabajador Dependiente,Casado,Técnico Profesional,No,1093000,No,No,Celular,0,No
298,3/9/1948,Jubilado,Divorciado,Enseñanza Básica,No,18000,No,No,Celular,0,No
299,3/9/1949,Jubilado,Casado,Universitario,No,1765000,No,No,Fono Particular,2,No
300,3/9/1954,Jubilado,Divorciado,Universitario,No,852000,No,No,Celular,0,No
301,3/10/1956,Jubilado,Casado,Universitario,No,1843000,No,No,Celular,2,Si
302,3/10/1953,Jubilado,Casado,Universitario,No,670000,No,No,Celular,0,Si
