,Sexo,Edad,Casado,Numero Dependientes,Recomendaciones realizadas,Meses como Cliente,Plan,Cargo Mensual LLamadas,Multiples lineas,Servicio Internet,GB mensuales consumidos,Servicio Adicional Antivirus,Servicio Respaldo en la Nube,Seguro Proteccion Equipo,Servicio Soporte Premium,Usa Streaming TV,Usa Streaming Peliculas,Usa Streaming Musica,Plan Ilimitado Datos,Tipo Contrato,Cobro Mensual,Historico de Devoluciones ,Historico Cargos extra datos,Historico Cargos Llamadas,Historico Cobro Acumulado   ,Fugado,Causa Fuga
129,Hombre,66,No,0,0,4,Plan E,18928,No,Si,43.5,Si,No,No,No,No,No,No,Si,Anual,39182,0,0,75712,217880,No,
130,Hombre,69,No,0,0,52,Plan B,,,Si,28.5,Si,No,No,No,Si,Si,Si,Si,Otro mas largo,25376,0,0,0,1328626,No,
131,Hombre,25,No,0,0,5,Ninguno,11445.2,Si,Si,127.5,No,No,No,No,No,No,Si,Si,Mensual,24518,0,0,57226,173264,Si,Mejor la Competencia
132,Hombre,30,Si,3,1,8,Plan E,1492.4,No,No,,,,,,,,,,Otro mas largo,10478,0,0,11939.2,97999.2,No,
135,Hombre,40,No,0,0,19,Plan D,6162,Si,Si,27,No,No,Si,Si,No,No,No,Si,Mensual,30966,0,0,117078,712270,No,
136,Hombre,53,No,0,0,72,Plan A,1903.2,Si,Si,19.5,Si,Si,Si,Si,No,No,No,Si,Otro mas largo,36218,0,0,137030.4,2689320.4,No,
137,Hombre,76,Si,0,2,63,Plan B,,,Si,10.5,Si,No,No,Si,No,No,No,Si,Anual,18772,0,0,0,1195428,No,
138,Hombre,38,Si,0,1,66,Ninguno,,,Si,43.5,Si,Si,Si,Si,Si,No,No,Si,Otro mas largo,29432,0,0,0,1970384,No,
139,Hombre,23,No,0,0,1,Ninguno,23171.2,No,Si,40.5,No,No,No,Si,No,No,No,Si,Mensual,39468,0,0,23171.2,62639.2,Si,Mejor la Competencia
140,Mujer,24,No,0,0,60,Ninguno,7950.8,Si,Si,72,No,No,Si,No,No,No,No,Si,Anual,41184,0,0,477048,2954848,No,
141,Mujer,43,Si,3,3,48,Ninguno,,,Si,33,Si,No,Si,No,No,Si,Si,Si,Anual,23400,0,0,0,1142076,No,
142,Mujer,45,No,0,0,1,Plan E,17336.8,No,Si,6,No,No,Si,No,Si,No,No,Si,Mensual,44486,0,0,17336.8,61822.8,Si,Otra
143,Hombre,49,No,0,0,15,Ninguno,25443.6,Si,Si,22.5,No,No,No,No,Si,Si,Si,Si,Mensual,48542,0,0,381654,1132872,Si,Mejor la Competencia
144,Mujer,62,Si,0,4,50,Plan B,17976.4,Si,Si,19.5,Si,Si,No,Si,Si,Si,Si,Si,Mensual,57018,0,0,898820,3709836,No,
145,Hombre,25,Si,1,10,72,Plan A,17550,Si,Si,45,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,46644,0,0,1263600,4560036,No,
146,Mujer,37,No,0,0,46,Ninguno,22500.4,Si,Si,31.5,Si,Si,No,No,No,No,No,No,Mensual,43810,0,52000,1035018.4,3087770.4,No,
147,Mujer,35,Si,1,4,72,Ninguno,15600,Si,Si,28.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,48178,0,0,1123200,4624360,No,
150,Mujer,69,No,0,0,67,Plan A,1336.4,No,Si,31.5,Si,Si,No,Si,Si,No,No,Si,Otro mas largo,48074,0,0,89538.8,3282780.8,No,
151,Mujer,44,Si,1,5,48,Ninguno,4648.8,Si,Si,40.5,No,Si,No,Si,Si,Si,Si,Si,Otro mas largo,41418,0,0,223142.4,2235698.4,No,
152,Mujer,19,No,0,0,72,Ninguno,21793.2,No,Si,109.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,57148,0,0,1569110.4,5533694.4,No,
153,Hombre,64,Si,0,6,52,Plan B,21496.8,Si,Si,36,Si,Si,Si,Si,No,Si,Si,Si,Anual,42328,0,0,1117833.6,3382147.6,No,
154,Mujer,44,Si,3,1,67,Plan A,24388,No,Si,42,No,Si,No,No,No,No,No,Si,Anual,26286,0,0,1633996,3418506,No,
155,Mujer,58,Si,0,1,28,Plan C,8762,No,Si,19.5,No,No,No,No,No,Si,Si,Si,Mensual,42146,0,0,245336,1403428,Si,Mejor la Competencia
156,Mujer,29,Si,1,9,32,Plan C,17305.6,Si,Si,76.5,No,Si,Si,No,No,No,Si,Si,Mensual,32474,0,0,553779.2,1617465.2,No,
157,Mujer,80,Si,0,2,27,Ninguno,3650.4,No,Si,37.5,Si,No,No,No,No,No,No,Si,Mensual,39104,0,0,98560.8,1101822.8,Si,Servicio Cliente
159,Hombre,22,No,0,0,2,Plan E,21023.6,Si,Si,40.5,No,No,No,No,Si,No,Si,Si,Mensual,44538,0,0,42047.2,136427.2,Si,Mejor la Competencia
160,Mujer,50,No,2,0,9,Ninguno,18454.8,No,Si,16.5,No,No,Si,Si,Si,Si,Si,Si,Mensual,37908,0,0,166093.2,504821.2,Si,Mejor la Competencia
161,Hombre,53,Si,2,10,50,Plan B,23134.8,Si,Si,42,Si,No,No,Si,Si,No,No,Si,Otro mas largo,36660,0,0,1156740,2969798,No,
162,Mujer,45,Si,2,1,71,Ninguno,16135.6,No,No,,,,,,,,,,Otro mas largo,10452,0,0,1145627.6,1868219.6,No,
163,Hombre,76,Si,0,2,32,Plan C,24616.8,Si,Si,15,No,No,No,No,No,No,No,Si,Mensual,38948,0,0,787737.6,1985479.6,Si,Servicio Cliente
164,Mujer,57,Si,3,10,16,Plan D,14180.4,No,Si,114,Si,No,Si,No,Si,Si,Si,Si,Mensual,52364,0,0,226886.4,1018690.4,No,
165,Mujer,45,Si,3,8,67,Plan A,9250.8,Si,Si,33,No,No,Si,Si,Si,Si,Si,Si,Otro mas largo,54938,0,0,619803.6,4113111.6,No,
166,Hombre,43,Si,1,1,72,Ninguno,8288.8,Si,Si,19.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,59436,0,0,596793.6,4787239.6,No,
167,Mujer,41,No,0,0,3,Plan E,12807.6,No,No,,,,,,,,,,Mensual,10270,0,0,38422.8,69024.8,Si,Servicio Cliente
168,Hombre,22,Si,3,1,23,Ninguno,24970.4,Si,No,,,,,,,,,,Anual,12662,0,0,574319.2,854339.2,No,
169,Hombre,62,Si,2,1,72,Ninguno,14752.4,Si,Si,27,Si,Si,Si,Si,No,No,No,Si,Otro mas largo,36322,13124.8,0,1062172.8,3702270,No,
170,Hombre,21,Si,2,9,7,Plan E,,,Si,70.5,Si,Si,Si,No,Si,Si,Si,Si,Mensual,-1560,0,0,0,242164,No,
171,Hombre,49,Si,3,10,8,Plan E,811.2,No,Si,85.5,No,No,No,No,Si,No,No,Si,Mensual,28288,0,0,6489.6,253541.6,No,
172,Hombre,33,Si,4,9,66,Plan A,,,Si,34.5,No,No,No,Si,Si,Si,Si,No,Otro mas largo,26286,0,57200,0,1806766,No,
173,Hombre,30,No,0,0,5,Plan E,17815.2,No,No,,,,,,,,,,Mensual,10946,0,0,89076,148278,Si,Servicio Cliente
174,Hombre,38,No,1,0,49,Ninguno,23051.6,Si,Si,16.5,No,Si,Si,No,Si,Si,Si,Si,Mensual,53924,0,0,1129528.4,3748404.4,Si,Mejor la Competencia
175,Hombre,56,Si,0,2,63,Plan B,19947.2,No,No,,,,,,,,,,Otro mas largo,10374,0,0,1256673.6,1898769.6,No,
176,Mujer,70,Si,1,1,12,Plan D,,,Si,21,No,No,No,Si,No,No,No,Si,Mensual,15236,0,0,0,185068,No,
